onset	duration	trial_type
0.0	0.0	stimulus
6.0	0.0	stimulus
12.0	0.0	stimulus
18.0	0.0	stimulus
24.0	0.0	stimulus
30.0	0.0	stimulus
36.0	0.0	stimulus
42.0	0.0	stimulus
48.0	0.0	stimulus
54.0	0.0	stimulus
60.0	0.0	stimulus
66.0	0.0	stimulus
72.0	0.0	stimulus
78.0	0.0	stimulus
84.0	0.0	stimulus
90.0	0.0	stimulus
96.0	0.0	stimulus
102.0	0.0	stimulus
108.0	0.0	stimulus
114.0	0.0	stimulus
120.0	0.0	stimulus
126.0	0.0	stimulus
132.0	0.0	stimulus
138.0	0.0	stimulus
144.0	0.0	stimulus
150.0	0.0	stimulus
156.0	0.0	stimulus
162.0	0.0	stimulus
168.0	0.0	stimulus
174.0	0.0	stimulus
180.0	0.0	stimulus
186.0	0.0	stimulus
192.0	0.0	stimulus
198.0	0.0	stimulus
204.0	0.0	stimulus
210.0	0.0	stimulus
216.0	0.0	stimulus
222.0	0.0	stimulus
228.0	0.0	stimulus
234.0	0.0	stimulus
240.0	0.0	stimulus
246.0	0.0	stimulus
252.0	0.0	stimulus
258.0	0.0	stimulus
264.0	0.0	stimulus
270.0	0.0	stimulus
276.0	0.0	stimulus
282.0	0.0	stimulus
288.0	0.0	stimulus
294.0	0.0	stimulus
300.0	0.0	stimulus
306.0	0.0	stimulus
312.0	0.0	stimulus
318.0	0.0	stimulus
324.0	0.0	stimulus
330.0	0.0	stimulus
336.0	0.0	stimulus
342.0	0.0	stimulus
348.0	0.0	stimulus
354.0	0.0	stimulus
