onset	duration	trial_type	stim_count
0	0	single_pulse	1
5.44793312129317	0	dual_pulse	2
10.0300043283909	0	single_pulse	3
14.6357137549726	0	dual_pulse	4
19.2777548768766	0	single_pulse	5
23.944215317753	0	dual_pulse	6
29.0651739616883	0	single_pulse	7
34.1388837265295	0	dual_pulse	8
38.6909616168154	0	single_pulse	9
44.1221630014237	0	dual_pulse	10
49.3508246831019	0	single_pulse	11
54.5886663368995	0	dual_pulse	12
59.1520708375923	0	single_pulse	13
64.5125114006306	0	dual_pulse	14
69.9469165195918	0	single_pulse	15
75.4313148318328	0	dual_pulse	16
80.7902536485166	0	single_pulse	17
86.0758126377816	0	dual_pulse	18
91.0891900563692	0	single_pulse	19
95.7667925168751	0	dual_pulse	20
