onset	duration	event_id	event_index
0	0	paired	1
5.49613471662689	0	paired	2
10.0743102453801	0	paired	3
15.0169885151555	0	paired	4
19.6236412853361	0	single	5
25.0855393661912	0	single	6
29.5901735903252	0	paired	7
34.8650840550367	0	single	8
40.1823872756902	0	single	9
45.5510819810537	0	single	10
50.1355178265646	0	paired	11
55.0353004756635	0	single	12
59.7951708785141	0	paired	13
65.0952393587384	0	single	14
70.026653186202	0	paired	15
75.4373007806315	0	paired	16
80.1191478089344	0	single	17
84.8829507254564	0	single	18
89.5284897058411	0	single	19
94.1645582645497	0	paired	20
