onset	duration	trial_type
0.0 0.0 	0	tms_pulse
2.0 0.0 	0	tms_pulse
8.0 0.0 	0	tms_pulse
13.0 0.0 	0	tms_pulse
16.0 0.0 	0	tms_pulse
22.0 0.0 	0	tms_pulse
28.0 0.0 	0	tms_pulse
33.0 0.0 	0	tms_pulse
38.0 0.0 	0	tms_pulse
40.0 0.0 	0	tms_pulse
43.0 0.0 	0	tms_pulse
46.0 0.0 	0	tms_pulse
51.0 0.0 	0	tms_pulse
55.0 0.0 	0	tms_pulse
58.0 0.0 	0	tms_pulse
65.0 0.0 	0	tms_pulse
70.0 0.0 	0	tms_pulse
76.0 0.0 	0	tms_pulse
83.0 0.0 	0	tms_pulse
88.0 0.0 	0	tms_pulse
91.0 0.0 	0	tms_pulse
94.0 0.0 	0	tms_pulse
98.0 0.0 	0	tms_pulse
102.0 0.0 	0	tms_pulse
107.0 0.0 	0	tms_pulse
110.0 0.0 	0	tms_pulse
114.0 0.0 	0	tms_pulse
116.0 0.0 	0	tms_pulse
121.0 0.0 	0	tms_pulse
126.0 0.0 	0	tms_pulse
132.0 0.0 	0	tms_pulse
136.0 0.0 	0	tms_pulse
139.0 0.0 	0	tms_pulse
143.0 0.0 	0	tms_pulse
148.0 0.0 	0	tms_pulse
154.0 0.0 	0	tms_pulse
160.0 0.0 	0	tms_pulse
162.0 0.0 	0	tms_pulse
167.0 0.0 	0	tms_pulse
172.0 0.0 	0	tms_pulse
174.0 0.0 	0	tms_pulse
179.0 0.0 	0	tms_pulse
183.0 0.0 	0	tms_pulse
185.0 0.0 	0	tms_pulse
189.0 0.0 	0	tms_pulse
194.0 0.0 	0	tms_pulse
198.0 0.0 	0	tms_pulse
202.0 0.0 	0	tms_pulse
205.0 0.0 	0	tms_pulse
210.0 0.0 	0	tms_pulse
213.0 0.0 	0	tms_pulse
219.0 0.0 	0	tms_pulse
221.0 0.0 	0	tms_pulse
226.0 0.0 	0	tms_pulse
230.0 0.0 	0	tms_pulse
233.0 0.0 	0	tms_pulse
239.0 0.0 	0	tms_pulse
244.0 0.0 	0	tms_pulse
247.0 0.0 	0	tms_pulse
253.0 0.0 	0	tms_pulse
257.0 0.0 	0	tms_pulse
263.0 0.0 	0	tms_pulse
267.0 0.0 	0	tms_pulse
274.0 0.0 	0	tms_pulse
276.0 0.0 	0	tms_pulse
282.0 0.0 	0	tms_pulse
286.0 0.0 	0	tms_pulse
289.0 0.0 	0	tms_pulse
296.0 0.0 	0	tms_pulse
301.0 0.0 	0	tms_pulse
308.0 0.0 	0	tms_pulse
314.0 0.0 	0	tms_pulse
317.0 0.0 	0	tms_pulse
320.0 0.0 	0	tms_pulse
322.0 0.0 	0	tms_pulse
325.0 0.0 	0	tms_pulse
328.0 0.0 	0	tms_pulse
335.0 0.0 	0	tms_pulse
341.0 0.0 	0	tms_pulse
348.0 0.0 	0	tms_pulse
350.0 0.0 	0	tms_pulse
353.0 0.0 	0	tms_pulse
357.0 0.0 	0	tms_pulse
363.0 0.0 	0	tms_pulse
365.0 0.0 	0	tms_pulse
369.0 0.0 	0	tms_pulse
373.0 0.0 	0	tms_pulse
378.0 0.0 	0	tms_pulse
382.0 0.0 	0	tms_pulse
384.0 0.0 	0	tms_pulse
390.0 0.0 	0	tms_pulse
397.0 0.0 	0	tms_pulse
403.0 0.0 	0	tms_pulse
407.0 0.0 	0	tms_pulse
412.0 0.0 	0	tms_pulse
414.0 0.0 	0	tms_pulse
421.0 0.0 	0	tms_pulse
426.0 0.0 	0	tms_pulse
433.0 0.0 	0	tms_pulse
437.0 0.0 	0	tms_pulse
