onset	duration	trial_type
0	0	single
5.18341586696798	0	single
10.3874632973022	0	paired
15.3297687106856	0	single
19.8493463342389	0	paired
24.680204214453	0	single
29.6045137112861	0	paired
34.3747841347182	0	paired
39.0718379328137	0	paired
44.393559117775	0	paired
49.3234805271582	0	single
54.7112514814146	0	paired
59.6024344768758	0	paired
64.8715488642641	0	paired
69.7683403812777	0	single
75.076854477165	0	single
80.3319315761721	0	paired
85.2093271210072	0	single
89.9253460369686	0	single
95.2157532549355	0	single
