onset	duration	trial_type	stim_id
0	0	Stimulus	marker1.1
4.58995067877058	0	Stimulus	marker1.2
9.20165642296378	0	Stimulus	marker1.3
13.8379489719021	0	Stimulus	marker1.4
19.0166012767023	0	Stimulus	marker1.5
24.0117782957919	0	Stimulus	marker1.6
28.7014887018095	0	Stimulus	marker1.7
33.6964945267997	0	Stimulus	marker1.8
38.3441027487764	0	Stimulus	marker1.9
42.8990768956826	0	Stimulus	marker1.10
48.2497895699716	0	Stimulus	marker1.11
53.3103490973265	0	Stimulus	marker1.12
58.7399579640832	0	Stimulus	marker1.13
63.9366251646384	0	Stimulus	marker1.14
69.0194161298142	0	Stimulus	marker1.15
74.3348133412916	0	Stimulus	marker1.16
79.7138272458888	0	Stimulus	marker1.17
85.2027388619684	0	Stimulus	marker1.18
89.7032612373254	0	Stimulus	marker1.19
95.0686998283384	0	Stimulus	marker1.20
102.0166012767023	0	Stimulus	marker1.21
107.0166012767023	0	Stimulus	marker1.22
111.2027388619684	0	Stimulus	marker1.23
114.9366251646384	0	Stimulus	marker1.24
117.8379489719021	0	Stimulus	marker1.25
119.2027388619684	0	Stimulus	marker1.26
121.2027388619684	0	Stimulus	marker1.27
123.9334813341291	0	Stimulus	marker1.28
125.3649869649452	0	Stimulus	marker1.29
128.2027388619684	0	Stimulus	marker1.30
