onset	duration	trial_type	trial_no
0	0	TMSDLPFC	1
5.31762770832226	0	TMSDLPFC	2
10.6124591252057	0	TMSDLPFC	3
15.7567772553994	0	TMSDLPFC	4
20.6353866380597	0	TMSDLPFC	5
25.9469670963422	0	TMSDLPFC	6
30.9797926851416	0	TMSDLPFC	7
35.8305197887185	0	TMSDLPFC	8
41.2695213507184	0	TMSDLPFC	9
46.6454641622114	0	TMSDLPFC	10
51.6956205051098	0	TMSDLPFC	11
56.818095591111	0	TMSDLPFC	12
61.9051402956424	0	TMSDLPFC	13
66.6128825883755	0	TMSDLPFC	14
71.414128918655	0	TMSDLPFC	15
76.3850522671725	0	TMSDLPFC	16
81.1155404273841	0	TMSDLPFC	17
86.4598492200795	0	TMSDLPFC	18
91.1546135096465	0	TMSDLPFC	19
95.8805352906189	0	TMSDLPFC	20
100.551243337767	0	TMSDLPFC	21
105.278907635583	0	TMSDLPFC	22
110.214606319687	0	TMSDLPFC	23
115.025708606338	0	TMSDLPFC	24
120.449088248441	0	TMSDLPFC	25
125.37929563977	0	TMSDLPFC	26
130.064111959895	0	TMSDLPFC	27
135.468992928575	0	TMSDLPFC	28
140.948741306931	0	TMSDLPFC	29
145.887611280057	0	TMSDLPFC	30
150.498730503497	0	TMSDLPFC	31
155.256795199409	0	TMSDLPFC	32
160.165515045522	0	TMSDLPFC	33
165.260411119531	0	TMSDLPFC	34
170.022622867311	0	TMSDLPFC	35
175.125465956693	0	TMSDLPFC	36
180.336681737127	0	TMSDLPFC	37
185.058428471144	0	TMSDLPFC	38
189.675846122	0	TMSDLPFC	39
194.472521995219	0	TMSDLPFC	40
199.291300297144	0	TMSDLPFC	41
204.215467056858	0	TMSDLPFC	42
209.223325341519	0	TMSDLPFC	43
213.808841138609	0	TMSDLPFC	44
218.571323373308	0	TMSDLPFC	45
223.872337996077	0	TMSDLPFC	46
228.40155827364	0	TMSDLPFC	47
233.830412413118	0	TMSDLPFC	48
239.060743275973	0	TMSDLPFC	49
244.049352249777	0	TMSDLPFC	50
249.1278773108	0	TMSDLPFC	51
253.865160890572	0	TMSDLPFC	52
258.824009718752	0	TMSDLPFC	53
264.287098258038	0	TMSDLPFC	54
269.333903976777	0	TMSDLPFC	55
274.355039807581	0	TMSDLPFC	56
279.08663419429	0	TMSDLPFC	57
284.07553193821	0	TMSDLPFC	58
289.199592026384	0	TMSDLPFC	59
294.37872756725	0	TMSDLPFC	60
299.274242782918	0	TMSDLPFC	61
304.141679431463	0	TMSDLPFC	62
309.629661434624	0	TMSDLPFC	63
314.167400300864	0	TMSDLPFC	64
319.552568309066	0	TMSDLPFC	65
324.965855136705	0	TMSDLPFC	66
330.262039010291	0	TMSDLPFC	67
334.860751288946	0	TMSDLPFC	68
339.622622472817	0	TMSDLPFC	69
344.45797931278	0	TMSDLPFC	70
349.637707264157	0	TMSDLPFC	71
354.274260401512	0	TMSDLPFC	72
359.495487900094	0	TMSDLPFC	73
364.102249761702	0	TMSDLPFC	74
369.25600711037	0	TMSDLPFC	75
374.250181047009	0	TMSDLPFC	76
379.529232770241	0	TMSDLPFC	77
384.744269848641	0	TMSDLPFC	78
390.147990409198	0	TMSDLPFC	79
395.538912913528	0	TMSDLPFC	80
400.373075966266	0	TMSDLPFC	81
405.571821798601	0	TMSDLPFC	82
410.269631625287	0	TMSDLPFC	83
414.800172571591	0	TMSDLPFC	84
420.044246831959	0	TMSDLPFC	85
425.044269267549	0	TMSDLPFC	86
430.024191408695	0	TMSDLPFC	87
435.428913646762	0	TMSDLPFC	88
440.538780295185	0	TMSDLPFC	89
445.656446684773	0	TMSDLPFC	90
451.01588899042	0	TMSDLPFC	91
456.321378414949	0	TMSDLPFC	92
461.398099930564	0	TMSDLPFC	93
466.081022399979	0	TMSDLPFC	94
470.820954410548	0	TMSDLPFC	95
476.207466343624	0	TMSDLPFC	96
480.736140496088	0	TMSDLPFC	97
485.7260418846	0	TMSDLPFC	98
490.393969030282	0	TMSDLPFC	99
495.872649679923	0	TMSDLPFC	100
